开始日期,开始时间,开始周次,开始星期,结束日期,结束时间,结束周次,结束星期,地点,类别,事件,描述
2025/12/12,13:00,,,2025/12/15,16:00,,,,选课,预选,
2025/12/19,13:00,,,2025/12/22,16:00,,,,选课,正选,全部课程可选可删，先选先得，选满后实行Waiting List方案。
2025/12/23,13:00,,,2025/12/26,16:00,,,,选课,重补修体育课分项（第一次）,
2025/12/26,13:00,,,2026/1/2,16:00,,,,选课,二级选课（第一次）,先选先得，选满为止。
2026/2/25,13:00,,,2026/3/2,8:00,,,,选课,补退选（第一阶段）,全部课程可选可删，先选先得，选满后实行Waiting List方案。
2026/2/25,13:00,,,2026/3/2,8:00,,,,选课,二级选课（第二次）,先选先得，选满为止。
2026/3/2,13:00,,,2026/3/5,16:00,,,,选课,重补修体育课分项（第二次）,
2026/3/2,13:00,,,2026/3/9,12:00,,,,选课,网上申请特殊原因补选,学生网上申请，经任课教师、开课院系网上两重审批均通过后，方可补选成功。
2026/3/2,13:00,,,2026/3/9,16:00,,,,选课,补退选（第二阶段）,本科生体育课程不可选，亦不可删。其他课程不可选课，只允许删除已选课程，所删课程不记录在成绩单上。
2026/3/30,8:00,,,2026/4/3,16:00,,,,选课,选择课程以P/F记载,在“课程属性”为“任选”的已选课程中选择一门，其成绩记为P或F，无绩点。
2026/3/30,8:00,,,2026/4/3,16:00,,,,选课,退课（第一阶段）,除本科生体育课、北外课程不可退课外，其他课程均可退课，所删后八周课程不记录在成绩单上。
2026/4/27,8:00,,,2026/5/8,16:00,,,,选课,退课（第二阶段）,只允许后八周开课的课程退课，所删课程不记录在成绩单上，其他课程、北大、北外课程均不可退课。
